,Unnamed: 0.1,Unnamed: 0.1.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_x,European Union,Area (kmÂ²),DATE,Week_Num,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Indexed
1906,1906,1906,ARG,Argentina,02/10/2020,764989.0,20288.0,87.96,45195777,18933.907,0.825,,,,02/10/2020,39,Friday,276,20201002,False,,0.016926117,0.026520643,No_Affiliation,14001.0,3351.0,9.0
13930,13930,13930,ECU,Ecuador,07/09/2020,109784.0,10524.0,70.83,17643060,10581.936,0.752,,,,07/09/2020,36,Monday,251,20200907,False,,0.006222503,0.095860963,No_Affiliation,-8261.0,3800.0,7.0
16508,16508,16508,FRA,France,04/04/2020,64338.0,6507.0,87.96,65273512,38605.671,0.901,France,Member,549087.0,04/04/2020,13,Saturday,95,20200404,False,0.117172688,0.000985668,0.101137741,EU,5233.0,2004.0,9.0
21597,21597,21597,IND,India,17/06/2020,354065.0,11903.0,76.85,1380004385,6426.674,0.64,,,,17/06/2020,24,Wednesday,169,20200617,True,,0.000256568,0.033618121,BRICS,10974.0,2003.0,8.0
30398,30398,30398,MEX,Mexico,09/10/2020,823549.0,83096.0,,128932753,17336.469,0.774,,,,09/10/2020,40,Friday,283,20201009,False,,0.006387431,0.100899886,No_Affiliation,4936.0,3013.0,
36415,36415,36415,PER,Peru,24/07/2020,371096.0,17654.0,81.48,32971846,12236.706,0.75,,,,24/07/2020,29,Friday,206,20200724,False,,0.011254935,0.047572596,No_Affiliation,4546.0,3887.0,8.0
36436,36436,36436,PER,Peru,14/08/2020,507996.0,25648.0,85.19,32971846,12236.706,0.75,,,,14/08/2020,32,Friday,227,20200814,False,,0.015406963,0.050488587,No_Affiliation,9441.0,3935.0,9.0
48223,48223,48223,USA,United States,11/04/2020,501560.0,18777.0,72.69,331002647,54225.446,0.924,,,,11/04/2020,14,Saturday,102,20200411,False,,0.001515275,0.037437196,US,35527.0,2087.0,7.0
48227,48227,48227,USA,United States,15/04/2020,609516.0,26057.0,72.69,331002647,54225.446,0.924,,,,15/04/2020,15,Wednesday,106,20200415,True,,0.001841423,0.042750313,US,26922.0,2408.0,7.0
48228,48228,48228,USA,United States,16/04/2020,639664.0,30985.0,72.69,331002647,54225.446,0.924,,,,16/04/2020,15,Thursday,107,20200416,False,,0.001932504,0.048439493,US,30148.0,4928.0,7.0
48229,48229,48229,USA,United States,17/04/2020,671331.0,33284.0,72.69,331002647,54225.446,0.924,,,,17/04/2020,15,Friday,108,20200417,False,,0.002028174,0.04957912,US,31667.0,2299.0,7.0
48230,48230,48230,USA,United States,18/04/2020,702164.0,37054.0,72.69,331002647,54225.446,0.924,,,,18/04/2020,15,Saturday,109,20200418,False,,0.002121324,0.052771147,US,30833.0,3770.0,7.0
48234,48234,48234,USA,United States,22/04/2020,825041.0,45063.0,72.69,331002647,54225.446,0.924,,,,22/04/2020,16,Wednesday,113,20200422,True,,0.002492551,0.054619104,US,37289.0,2524.0,7.0
48236,48236,48236,USA,United States,24/04/2020,869172.0,49963.0,72.69,331002647,54225.446,0.924,,,,24/04/2020,16,Friday,115,20200424,False,,0.002625876,0.057483444,US,26543.0,3179.0,7.0
48238,48238,48238,USA,United States,26/04/2020,939053.0,53189.0,72.69,331002647,54225.446,0.924,,,,26/04/2020,17,Sunday,117,20200426,False,,0.002836995,0.056641105,US,48529.0,2172.0,7.0
48241,48241,48241,USA,United States,29/04/2020,1012583.0,58355.0,72.69,331002647,54225.446,0.924,,,,29/04/2020,17,Wednesday,120,20200429,True,,0.003059139,0.057629844,US,24132.0,2110.0,7.0
48242,48242,48242,USA,United States,30/04/2020,1039909.0,60966.0,72.69,331002647,54225.446,0.924,,,,30/04/2020,17,Thursday,121,20200430,False,,0.003141694,0.058626284,US,27326.0,2611.0,7.0
48243,48243,48243,USA,United States,01/05/2020,1069826.0,63006.0,72.69,331002647,54225.446,0.924,,,,01/05/2020,17,Friday,122,20200501,False,,0.003232077,0.058893689,US,29917.0,2040.0,7.0
48244,48244,48244,USA,United States,02/05/2020,1103781.0,65068.0,72.69,331002647,54225.446,0.924,,,,02/05/2020,17,Saturday,123,20200502,False,,0.003334659,0.0589501,US,33955.0,2062.0,7.0
48248,48248,48248,USA,United States,06/05/2020,1204475.0,71078.0,72.69,331002647,54225.446,0.924,,,,06/05/2020,18,Wednesday,127,20200506,True,,0.003638868,0.059011603,US,23841.0,2144.0,7.0
48249,48249,48249,USA,United States,07/05/2020,1228603.0,73431.0,72.69,331002647,54225.446,0.924,,,,07/05/2020,18,Thursday,128,20200507,False,,0.003711762,0.059767883,US,24128.0,2353.0,7.0
48250,48250,48250,USA,United States,08/05/2020,1256972.0,75670.0,72.69,331002647,54225.446,0.924,,,,08/05/2020,18,Friday,129,20200508,False,,0.003797468,0.060200227,US,28369.0,2239.0,7.0
48299,48299,48299,USA,United States,26/06/2020,2422310.0,124416.0,68.98,331002647,54225.446,0.924,,,,26/06/2020,25,Friday,178,20200626,False,,0.007318099,0.051362542,US,40949.0,2437.0,7.0
